JUDGMENT_GOOD61937.18798828125,-62.18798828125,NOTE_3,
JUDGMENT_GOOD62120.44091796875,-57.94091796875,NOTE_5,
JUDGMENT_COOL62470.946044921875,-33.446044921875,NOTE_1,
JUDGMENT_COOL62655.080078125,-30.080078125,NOTE_7,
JUDGMENT_GOOD62870.76904296875,-58.26904296875,NOTE_1,
JUDGMENT_GOOD63087.740966796875,-87.740966796875,NOTE_7,
JUDGMENT_GOOD63273.473876953125,-85.973876953125,NOTE_1,
JUDGMENT_GOOD63621.27294921875,-58.77294921875,NOTE_6,
JUDGMENT_GOOD63856.202880859375,81.297119140625,NOTE_2,
JUDGMENT_GOOD64388.632080078125,-76.132080078125,NOTE_5,
JUDGMENT_GOOD64606.467041015625,-106.467041015625,NOTE_7,
JUDGMENT_COOL65306.9189453125,21.652483258927532,NOTE_2,
JUDGMENT_COOL65356.468994140625,-27.897565569197468,NOTE_5,
JUDGMENT_COOL66292.24096679688,-2.131076686986489,NOTE_3,
JUDGMENT_COOL66292.24096679688,-2.131076686986489,NOTE_6,
JUDGMENT_COOL67491.61108398438,10.62001824672916,NOTE_1,
JUDGMENT_COOL71425.43774414062,33.882910329295555,NOTE_1,
JUDGMENT_GOOD71542.68579101562,104.13486345429556,NOTE_5,
JUDGMENT_GOOD71642.2509765625,-89.18032209257944,NOTE_3,
JUDGMENT_GOOD71792.1669921875,-51.596337717579445,NOTE_7,
JUDGMENT_MISS72043.20874023438,-208.88808576445444,NOTE_2
JUDGMENT_GOOD72109.208984375,-87.38832990507944,NOTE_5,
JUDGMENT_GOOD72292.79711914062,-83.47646467070444,NOTE_3,
JUDGMENT_GOOD72326.88305664062,69.93759782929556,NOTE_5,
JUDGMENT_COOL72561.44189453125,22.878759938670555,NOTE_3,
JUDGMENT_GOOD72693.77099609375,78.04965837617056,NOTE_5,
JUDGMENT_COOL72909.75708007812,49.563574391795555,NOTE_3,
JUDGMENT_COOL73179.21508789062,-32.394433420704445,NOTE_2,
JUDGMENT_COOL73327.10278320312,7.217871266795555,NOTE_1,
JUDGMENT_GOOD73593.27612304688,-71.45546857695444,NOTE_6,
